name,name_normalized,industry,group_name,size,domain
삼성전자,samsungelectronics,전기·전자,삼성,large_corp,samsung.com
삼성SDS,samsungsds,IT서비스,삼성,large_corp,samsungsds.com
삼성생명,samsunglife,보험,삼성,large_corp,samsunglife.com
삼성물산,samsungcnt,종합상사,삼성,large_corp,samsungcnt.com
삼성디스플레이,samsungdisplay,전기·전자,삼성,large_corp,samsungdisplay.com
삼성바이오로직스,samsungbiologics,바이오,삼성,large_corp,samsungbiologics.com
삼성SDI,samsungsdi,2차전지,삼성,large_corp,samsungsdi.com
삼성중공업,samsungheavy,조선·중공업,삼성,large_corp,samsungshi.com
SK하이닉스,skhynix,반도체,SK,large_corp,skhynix.com
SK이노베이션,skinnovation,에너지,SK,large_corp,skinnovation.com
SK텔레콤,skt,통신,SK,large_corp,sktelecom.com
LG에너지솔루션,lgenergysolution,2차전지,LG,large_corp,lgensol.com
LG전자,lge,전기·전자,LG,large_corp,lge.com
LG화학,lgchem,화학,LG,large_corp,lgchem.com
LG디스플레이,lgdisplay,전기·전자,LG,large_corp,lgdisplay.com
LG유플러스,lguplus,통신,LG,large_corp,lguplus.com
현대자동차,hyundaimotor,자동차,현대차,large_corp,hyundai.com
기아,kia,자동차,현대차,large_corp,kia.com
현대모비스,hyundaimobis,자동차부품,현대차,large_corp,mobis.co.kr
현대글로비스,hyundaiglovis,물류,현대차,large_corp,glovis.net
포스코,posco,철강,포스코,large_corp,posco.com
포스코이앤씨,poscoenc,건설,포스코,large_corp,poscoenc.com
한화에어로스페이스,hanwhaaero,항공·방산,한화,large_corp,hanwhaaerospace.co.kr
한화시스템,hanwhasystems,항공·방산,한화,large_corp,hanwhasystems.com
GS칼텍스,gscaltex,정유,GS,large_corp,gscaltex.com
GS리테일,gsretail,유통,GS,large_corp,gsretail.com
롯데케미칼,lottechem,화학,롯데,large_corp,lottechem.com
롯데쇼핑,lotteshopping,유통,롯데,large_corp,lotteshopping.com
CJ제일제당,cjcheiljedang,식품,CJ,large_corp,cj.co.kr
CJ ENM,cjenm,미디어,CJ,large_corp,cjenm.com
KT,kt,통신,KT,large_corp,kt.com
KT&G,ktng,담배·식품,KT&G,large_corp,ktng.com
네이버,naver,인터넷·IT,네이버,large_corp,naver.com
NAVER 클라우드,navercloud,클라우드,네이버,large_corp,navercloud.com
카카오,kakao,인터넷·IT,카카오,large_corp,kakao.com
카카오뱅크,kakaobank,은행,카카오,large_corp,kakaobank.com
카카오페이,kakaopay,핀테크,카카오,large_corp,kakaopay.com
쿠팡,coupang,이커머스,,large_corp,coupang.com
배달의민족,baemin,플랫폼,우아한형제들,large_corp,woowahan.com
당근,daangn,플랫폼,,startup_unicorn,daangn.com
토스,toss,핀테크,비바리퍼블리카,startup_unicorn,toss.im
KB국민은행,kbstar,은행,KB금융,large_corp,kbstar.com
신한은행,shinhan,은행,신한금융,large_corp,shinhan.com
하나은행,hana,은행,하나금융,large_corp,kebhana.com
우리은행,wooribank,은행,우리금융,large_corp,wooribank.com
NH농협은행,nonghyup,은행,농협금융,large_corp,nonghyup.com
한국전력공사,kepco,공공·전력,,public,kepco.co.kr
한국가스공사,kogas,공공·가스,,public,kogas.or.kr
한국수자원공사,kwater,공공·환경,,public,kwater.or.kr
한국공항공사,airport,공공·교통,,public,airport.co.kr
인천국제공항공사,iiac,공공·교통,,public,airport.kr
HMM,hmm,해운,,large_corp,hmm21.com
대한항공,koreanair,항공,한진,large_corp,koreanair.com
아시아나항공,asiana,항공,,large_corp,flyasiana.com
넥슨,nexon,게임,,large_corp,nexon.com
엔씨소프트,ncsoft,게임,,large_corp,ncsoft.com
크래프톤,krafton,게임,,large_corp,krafton.com
펄어비스,pearlabyss,게임,,large_corp,pearlabyss.com
